X,Y,Thickness
0.00,0.00,-2264.59800658202
0.00,49.40,-2293.34850201394
-34.93,34.93,-2296.68417472867
-49.40,0.00,-2298.07197545233
-34.93,-34.93,-2297.95713104627
0.00,-49.40,-2294.15207062791
34.93,-34.93,-2298.29672191984
49.40,0.00,-2296.72544524199
34.93,34.93,-2290.70202591829
0.00,98.80,-2330.94802478353
-37.81,91.28,-2334.82803381462
-69.86,69.86,-2335.18686377031
-91.28,37.81,-2337.77762395841
-98.80,0.00,-2338.71538659694
-91.28,-37.81,-2342.5892224779
-69.86,-69.86,-2340.11140310285
-37.81,-91.28,-2336.70958814522
0.00,-98.80,-2336.02082186578
37.81,-91.28,-2337.936650902
69.86,-69.86,-2337.74170498703
91.28,-37.81,-2342.9565222637
98.80,0.00,-2347.05778807687
91.28,37.81,-2335.84285091916
69.86,69.86,-2340.74922459189
37.81,91.28,-2336.40077013387
0.00,148.00,-2400.51886528623
-38.31,142.96,-2400.75135986981
-74.00,128.17,-2392.39170680035
-104.65,104.65,-2407.26448498881
-128.17,74.00,-2399.21977879505
-142.96,38.31,-2408.78026188924
-148.00,0.00,-2384.61337631688
-142.96,-38.31,-2394.73627160573
-128.17,-74.00,-2403.4567398897
-104.65,-104.65,-2402.32131749047
-74.00,-128.17,-2387.23510790116
-38.31,-142.96,-2374.89132439333
0.00,-148.00,-2400.22141001829
38.31,-142.96,-2442.02310288188
74.00,-128.17,-2481.30458384971
104.65,-104.65,-2509.13526701451
128.17,-74.00,-2504.44770593543
142.96,-38.31,-2499.54451114455
148.00,0.00,-2478.7633075605
142.96,38.31,-2508.68910872854
128.17,74.00,-2502.24101117327
104.65,104.65,-2504.18573262754
74.00,128.17,-2485.76212717536
38.31,142.96,-2448.83750639247
