X,Y,Thickness
0.00,0.00,-2268.58132813956
0.00,49.40,-2299.07975381665
-34.93,34.93,-2298.25418473698
-49.40,0.00,-2297.80353758929
-34.93,-34.93,-2300.04074398835
0.00,-49.40,-2297.09119897638
34.93,-34.93,-2296.95750579978
49.40,0.00,-2298.21459771693
34.93,34.93,-2294.13485825218
0.00,98.80,-2333.05163113912
-37.81,91.28,-2340.4615340326
-69.86,69.86,-2338.91950173554
-91.28,37.81,-2342.09961681722
-98.80,0.00,-2343.88284294771
-91.28,-37.81,-2347.42139227818
-69.86,-69.86,-2341.71526689431
-37.81,-91.28,-2343.96885531688
0.00,-98.80,-2340.17163151913
37.81,-91.28,-2340.36411994757
69.86,-69.86,-2344.28695085551
91.28,-37.81,-2345.94401224577
98.80,0.00,-2351.3842730687
91.28,37.81,-2340.62377600645
69.86,69.86,-2347.64599501068
37.81,91.28,-2341.43850510928
0.00,148.00,-2261.39646632889
-38.31,142.96,-2410.75947078223
-74.00,128.17,-2398.84905219618
-104.65,104.65,-2406.38494409774
-128.17,74.00,-2406.69363698333
-142.96,38.31,-2417.49632606762
-148.00,0.00,-2389.44661395307
-142.96,-38.31,-2401.79812561168
-128.17,-74.00,-2414.83104690097
-104.65,-104.65,-2409.35533908472
-74.00,-128.17,-2393.29344178941
-38.31,-142.96,-2383.51550412429
0.00,-148.00,-2405.76357160185
38.31,-142.96,-2452.68553353661
74.00,-128.17,-2486.59983579155
104.65,-104.65,-2514.58156560077
128.17,-74.00,-2511.4460403118
142.96,-38.31,-2499.95832303805
148.00,0.00,-2485.504269411
142.96,38.31,-2515.90190716788
128.17,74.00,-2507.85167821976
104.65,104.65,-2506.2191861084
74.00,128.17,-2491.69046510475
38.31,142.96,-2455.10663165411
