X,Y,Thickness
0.00,0.00,-2265.97864620125
0.00,49.40,-2291.99571161445
-34.93,34.93,-2293.19170981224
-49.40,0.00,-2295.41689727818
-34.93,-34.93,-2296.78657759196
0.00,-49.40,-2293.2601562834
34.93,-34.93,-2293.65732023036
49.40,0.00,-2294.88416509119
34.93,34.93,-2289.96421225895
0.00,98.80,-2326.58666128411
-37.81,91.28,-2333.22820272548
-69.86,69.86,-2333.23813729393
-91.28,37.81,-2342.24241963751
-98.80,0.00,-2339.59883897058
-91.28,-37.81,-2339.65420261535
-69.86,-69.86,-2333.97184101573
-37.81,-91.28,-2330.04874567107
0.00,-98.80,-2337.25247401571
37.81,-91.28,-2332.30772494895
69.86,-69.86,-2336.14975617085
91.28,-37.81,-2338.84395792297
98.80,0.00,-2342.37084784343
91.28,37.81,-2336.79755117479
69.86,69.86,-2339.55993260538
37.81,91.28,-2332.2805691967
0.00,148.00,-2255.39649731896
-38.31,142.96,-2400.30939643077
-74.00,128.17,-2391.49172903539
-104.65,104.65,-2408.3848037379
-128.17,74.00,-2400.96818984647
-142.96,38.31,-2408.0203366034
-148.00,0.00,-2385.57654208128
-142.96,-38.31,-2397.75126371655
-128.17,-74.00,-2404.71251415524
-104.65,-104.65,-2399.84987969528
-74.00,-128.17,-2385.1366429937
-38.31,-142.96,-2377.24391681117
0.00,-148.00,-2394.9108774816
38.31,-142.96,-2444.35666547549
74.00,-128.17,-2478.00103971501
104.65,-104.65,-2509.29846488638
128.17,-74.00,-2504.20831604678
142.96,-38.31,-2500.28183512382
148.00,0.00,-2481.513236611
142.96,38.31,-2511.20067737494
128.17,74.00,-2502.21627322328
104.65,104.65,-2503.44660282519
74.00,128.17,-2398.94191205886
38.31,142.96,-2451.82579584706
