X,Y,Thickness
0.00,0.00,-2032.00222455832
0.00,49.40,-2032.74688017889
-34.93,34.93,-2034.79159730351
-49.40,0.00,-2026.87787282646
-34.93,-34.93,-2026.59258528847
0.00,-49.40,-2010.50815998521
34.93,-34.93,-2033.02283202139
49.40,0.00,-2030.67590470923
34.93,34.93,-2033.05065939125
0.00,98.80,-2054.13392410252
-37.81,91.28,-2054.3467517608
-69.86,69.86,-2046.52162243383
-91.28,37.81,-2047.7398589833
-98.80,0.00,-2042.21685730412
-91.28,-37.81,-2044.37053766386
-69.86,-69.86,-2035.12052213326
-37.81,-91.28,-2044.22850617637
0.00,-98.80,-2050.00295338627
37.81,-91.28,-2050.545016389
69.86,-69.86,-2051.4632825281
91.28,-37.81,-2059.19390854864
98.80,0.00,-2055.12056099064
91.28,37.81,-2057.04777607431
69.86,69.86,-2053.54108544972
37.81,91.28,-2058.26136995763
0.00,148.00,-1935.43874522629
-38.31,142.96,-2070.39140689454
-74.00,128.17,-2074.29544867592
-104.65,104.65,-2067.42085781692
-128.17,74.00,-2054.95808395091
-142.96,38.31,-2029.56784507569
-148.00,0.00,-2050.29348031734
-142.96,-38.31,-2024.92237542575
-128.17,-74.00,-2064.90386931768
-104.65,-104.65,-2078.55217486609
-74.00,-128.17,-2094.08337531143
-38.31,-142.96,-2090.59378413613
0.00,-148.00,-2083.88489136815
38.31,-142.96,-2108.14697061222
74.00,-128.17,-2117.27313042712
104.65,-104.65,-2130.29673944968
128.17,-74.00,-2134.18748668608
142.96,-38.31,-2137.81735607537
148.00,0.00,-2143.77561003145
142.96,38.31,-2176.09194200569
128.17,74.00,-2169.62935461985
104.65,104.65,-2174.26820347903
74.00,128.17,-2147.2513403805
38.31,142.96,-2111.45927805721
