X,Y,Thickness
0.00,0.00,-2029.01403773315
0.00,49.40,-2035.21180520427
-34.93,34.93,-2029.12133984964
-49.40,0.00,-2026.19697288727
-34.93,-34.93,-2031.35512247127
0.00,-49.40,-2019.35631008278
34.93,-34.93,-2035.89457719379
49.40,0.00,-2038.88310580551
34.93,34.93,-2035.40720090053
0.00,98.80,-2060.187009729
-37.81,91.28,-2064.88814352439
-69.86,69.86,-2055.31412058521
-91.28,37.81,-2050.03076011928
-98.80,0.00,-2047.17295591246
-91.28,-37.81,-2041.0449790948
-69.86,-69.86,-2042.7460109214
-37.81,-91.28,-2046.34570538946
0.00,-98.80,-2056.42352958505
37.81,-91.28,-2049.40636808604
69.86,-69.86,-2059.4291457541
91.28,-37.81,-2058.17108546247
98.80,0.00,-2059.39437320566
91.28,37.81,-2059.44204414443
69.86,69.86,-2056.53200690061
37.81,91.28,-2059.15953810812
0.00,148.00,-1963.0472067458
-38.31,142.96,-2077.33591804057
-74.00,128.17,-2077.04885185443
-104.65,104.65,-2075.47980027171
-128.17,74.00,-2057.18528877809
-142.96,38.31,-2032.24496104993
-148.00,0.00,-2053.16571989853
-142.96,-38.31,-2028.09076291426
-128.17,-74.00,-2067.63892844621
-104.65,-104.65,-2078.81741308371
-74.00,-128.17,-2091.73118334566
-38.31,-142.96,-2094.4900717328
0.00,-148.00,-2084.30024969107
38.31,-142.96,-2106.00526936376
74.00,-128.17,-2118.84845740201
104.65,-104.65,-2139.75573599471
128.17,-74.00,-2132.94892415657
142.96,-38.31,-2145.93001032527
148.00,0.00,-2147.48006256288
142.96,38.31,-2178.31027329087
128.17,74.00,-2172.91985777274
104.65,104.65,-2172.85962751064
74.00,128.17,-2147.30203370302
38.31,142.96,-2116.64985183488
