X,Y,Thickness
0.00,0.00,-2029.11642108118
0.00,49.40,-2034.32835997718
-34.93,34.93,-2033.54994541319
-49.40,0.00,-2028.70388802808
-34.93,-34.93,-2030.04518359814
0.00,-49.40,-2022.9604584841
34.93,-34.93,-2034.76268711747
49.40,0.00,-2037.36095871553
34.93,34.93,-2039.85653245526
0.00,98.80,-2064.56440650662
-37.81,91.28,-2058.43833888329
-69.86,69.86,-2060.899006233
-91.28,37.81,-2051.86594490325
-98.80,0.00,-2043.4356302494
-91.28,-37.81,-2048.23318061516
-69.86,-69.86,-2042.96305633074
-37.81,-91.28,-2046.40241913997
0.00,-98.80,-2046.08420591473
37.81,-91.28,-2051.98927211436
69.86,-69.86,-2056.83796673903
91.28,-37.81,-2050.1669802997
98.80,0.00,-2061.96524704444
91.28,37.81,-2057.09125096424
69.86,69.86,-2055.47890938993
37.81,91.28,-2055.60330249077
0.00,148.00,-1939.36886225635
-38.31,142.96,-2064.13991762411
-74.00,128.17,-2078.10872082935
-104.65,104.65,-2070.83321085853
-128.17,74.00,-2057.57726348235
-142.96,38.31,-2022.79128543711
-148.00,0.00,-2048.82760418849
-142.96,-38.31,-2017.78724538891
-128.17,-74.00,-2062.73956340297
-104.65,-104.65,-2068.51634092673
-74.00,-128.17,-2093.48918837784
-38.31,-142.96,-2086.1655393296
0.00,-148.00,-2071.89871146324
38.31,-142.96,-2098.4034572248
74.00,-128.17,-2117.0692379534
104.65,-104.65,-2124.16704060905
128.17,-74.00,-2133.35707380054
142.96,-38.31,-2131.36210460673
148.00,0.00,-2135.44310581982
142.96,38.31,-2167.74759374369
128.17,74.00,-2167.8577895801
104.65,104.65,-2163.14858088758
74.00,128.17,-2142.77404414109
38.31,142.96,-2103.13861789595
