X,Y,Thickness
0.00,0.00,-2035.7576694189
0.00,49.40,-2045.42998743671
-34.93,34.93,-2037.80368572835
-49.40,0.00,-2031.72491095233
-34.93,-34.93,-2036.02090670099
0.00,-49.40,-2021.98263168937
34.93,-34.93,-2045.03339888709
49.40,0.00,-2042.02006738001
34.93,34.93,-2037.77291278431
0.00,98.80,-2065.48119487158
-37.81,91.28,-2064.56161598375
-69.86,69.86,-2057.15015104884
-91.28,37.81,-2056.47722024172
-98.80,0.00,-2049.6990491444
-91.28,-37.81,-2051.13573582892
-69.86,-69.86,-2046.55386029477
-37.81,-91.28,-2050.23832231514
0.00,-98.80,-2059.02737595636
37.81,-91.28,-2054.84327607587
69.86,-69.86,-2059.13737255776
91.28,-37.81,-2066.21208193768
98.80,0.00,-2068.88563313333
91.28,37.81,-2063.5884837282
69.86,69.86,-2062.61471693512
37.81,91.28,-2059.69679940015
0.00,148.00,-1944.0684479534
-38.31,142.96,-2072.0975971207
-74.00,128.17,-2079.35860663616
-104.65,104.65,-2071.3515096572
-128.17,74.00,-2058.11233515369
-142.96,38.31,-2037.92910356181
-148.00,0.00,-2055.7120811536
-142.96,-38.31,-2023.03872036062
-128.17,-74.00,-2068.5604965782
-104.65,-104.65,-2082.53349097552
-74.00,-128.17,-2101.79459303496
-38.31,-142.96,-2094.60195132477
0.00,-148.00,-2088.73695152035
38.31,-142.96,-2109.67669868987
74.00,-128.17,-2123.50392241182
104.65,-104.65,-2139.00539374028
128.17,-74.00,-2133.8345410816
142.96,-38.31,-2144.47870319686
148.00,0.00,-2147.457450108
142.96,38.31,-2176.63889607825
128.17,74.00,-2176.8035908793
104.65,104.65,-2176.88875910015
74.00,128.17,-2152.33940366938
38.31,142.96,-2118.27600413775
