X,Y,CE
0,0,16.05296
-1.00E-05,4.94,15.7832
-3.4931197,3.4930902,15.77543
-4.94,-1.00E-05,15.787536
-3.4930902,-3.4931197,15.77066
1.00E-05,-4.94,15.743417
3.4931197,-3.4930902,15.76499
4.94,1.00E-05,15.77268
3.4930902,3.4931197,15.791184
-3.00E-05,9.88,15.38542
-3.78095,9.12792,15.36967
-6.9862394,6.98619,15.356594
-9.127951,3.78088,15.21918
-9.88,-4.00E-05,15.26799
-9.12792,-3.78095,15.273005
-6.98619,-6.9862394,15.226203
-3.78088,-9.127951,15.35773
4.00E-05,-9.88,15.285903
3.78095,-9.12792,15.36739
6.9862504,-6.98619,15.71137
9.127951,-3.78088,15.776896
9.88,4.00E-05,15.821964
9.12792,3.78095,15.75715
6.9861803,6.9862504,15.71985
3.78088,9.127951,15.3893
-6.00E-05,14.82,15.235984
-3.83576,14.31501,15.080976
-7.4100404,12.83448,15.07248
-10.479361,10.47928,14.68579
-12.83452,7.4099603,14.385885
-14.315041,3.83564,14.23846
-14.82,-6.00E-05,14.38092
-14.31501,-3.83576,14.613456
-12.83446,-7.4100404,14.83879
-10.47928,-10.47937,15.17346
-7.4099402,-12.83452,15.540826
-3.83564,-14.315041,15.668154
6.00E-05,-14.82,16.03383
3.83576,-14.31501,16.40079
7.41006,-12.83446,16.74272
10.47937,-10.47928,16.91947
12.834531,-7.4099402,16.892904
14.315041,-3.83564,16.89112
14.82,6.00E-05,16.77676
14.31501,3.83576,16.662407
12.83446,7.41006,16.42144
10.47928,10.47937,16.38204
7.4099402,12.834531,16.069114
3.83564,14.315041,15.66825
