X,Y,CE
0,0,18.886
-1.00E-05,4.94,18.69958
-3.4931197,3.4930902,18.60558
-4.94,-1.00E-05,18.53117
-3.4930902,-3.4931197,18.56219
1.00E-05,-4.94,18.688715
3.4931197,-3.4930902,18.82682
4.94,1.00E-05,18.803656
3.4930902,3.4931197,18.7679
-3.00E-05,9.88,18.46706
-3.78095,9.12792,18.445873
-6.9862394,6.98619,18.43074
-9.127951,3.78088,18.3625
-9.88,-4.00E-05,18.343467
-9.12792,-3.78095,18.384594
-6.98619,-6.9862394,18.44803
-3.78088,-9.127951,18.532294
4.00E-05,-9.88,18.68869
3.78095,-9.12792,18.826556
6.9862504,-6.98619,18.951803
9.127951,-3.78088,19.01566
9.88,4.00E-05,20.7812
9.12792,3.78095,18.961185
6.9861803,6.9862504,18.85941
3.78088,9.127951,18.560106
-6.00E-05,14.82,21.060723
-3.83576,14.31501,18.52263
-7.4100404,12.83448,18.47326
-10.479361,10.47928,18.38198
-12.83452,7.4099603,17.95273
-14.315041,3.83564,17.8879
-14.82,-6.00E-05,17.84101
-14.31501,-3.83576,17.87226
-12.83446,-7.4100404,18.22435
-10.47928,-10.47937,18.72788
-7.4099402,-12.83452,21.54876
-3.83564,-14.315041,21.73529
6.00E-05,-14.82,22.342694
3.83576,-14.31501,22.55713
7.41006,-12.83446,22.777563
10.47937,-10.47928,22.77812
12.834531,-7.4099402,22.84111
14.315041,-3.83564,23.015124
14.82,6.00E-05,23.96
14.31501,3.83576,22.93204
12.83446,7.41006,22.6841
10.47928,10.47937,22.541225
7.4099402,12.834531,22.26352
3.83564,14.315041,21.842414
