X,Y,CE
0,0,17.81886
-1.00E-05,4.94,17.620146
-3.4931197,3.4930902,17.73146
-4.94,-1.00E-05,17.76565
-3.4930902,-3.4931197,17.76257
1.00E-05,-4.94,17.5993
3.4931197,-3.4930902,17.678344
4.94,1.00E-05,17.560387
3.4930902,3.4931197,17.598295
-3.00E-05,9.88,17.13456
-3.78095,9.12792,17.16488
-6.9862394,6.98619,17.192405
-9.127951,3.78088,17.1701
-9.88,-4.00E-05,17.249244
-9.12792,-3.78095,17.211396
-6.98619,-6.9862394,17.24334
-3.78088,-9.127951,17.248744
4.00E-05,-9.88,17.171943
3.78095,-9.12792,17.137176
6.9862504,-6.98619,17.10449
9.127951,-3.78088,17.073596
9.88,4.00E-05,17.086166
9.12792,3.78095,17.15678
6.9861803,6.9862504,17.086655
3.78088,9.127951,17.14161
-6.00E-05,14.82,16.44719
-3.83576,14.31501,16.31716
-7.4100404,12.83448,16.406196
-10.479361,10.47928,16.35071
-12.83452,7.4099603,16.18806
-14.315041,3.83564,16.21403
-14.82,-6.00E-05,16.214544
-14.31501,-3.83576,16.328883
-12.83446,-7.4100404,16.44553
-10.47928,-10.47937,16.54509
-7.4099402,-12.83452,16.64565
-3.83564,-14.315041,16.73612
6.00E-05,-14.82,17.02702
3.83576,-14.31501,17.238986
7.41006,-12.83446,17.726
10.47937,-10.47928,17.923063
12.834531,-7.4099402,17.982084
14.315041,-3.83564,17.95266
14.82,6.00E-05,18
14.31501,3.83576,18.01603
12.83446,7.41006,17.90675
10.47928,10.47937,17.76191
7.4099402,12.834531,17.412394
3.83564,14.315041,16.78203
