X,Y,Thickness
0,0,302.45
0,49.4,296.97702
-34.93,34.93,295.9699
-49.4,0,296.5459
-34.93,-34.93,296.2831
0,-49.4,296.71304
34.93,-34.93,297.09186
49.4,0,297.16895
34.93,34.93,297.15405
0,98.8,288.42548
-37.81,91.28,287.8382
-69.86,69.86,287.33255
-91.28,37.81,287.0548
-98.8,0,287.4279
-91.28,-37.81,287.52866
-69.86,-69.86,287.82584
-37.81,-91.28,288.39606
0,-98.8,289.12512
37.81,-91.28,289.56384
69.86,-69.86,289.41696
91.28,-37.81,289.28653
98.8,0,295.30127
91.28,37.81,289.54562
69.86,69.86,289.62384
37.81,91.28,288.815
0,148,286.95718
-38.31,142.96,279.0805
-74,128.17,278.37158
-104.65,104.65,275.5569
-128.17,74,270.53143
-142.96,38.31,266.7277
-148,0,266.4429
-142.96,-38.31,269.06564
-128.17,-74,274.67743
-104.65,-104.65,279.91275
-74,-128.17,290.27432
-38.31,-142.96,292.1507
0,-148,291.93054
38.31,-142.96,289.51608
74,-128.17,285.19183
104.65,-104.65,282.27618
128.17,-74,280.04785
142.96,-38.31,279.60065
148,0,279.7
142.96,38.31,279.77182
128.17,74,280.22794
104.65,104.65,280.3745
74,128.17,283.14566
38.31,142.96,285.4045
