X,Y,Thickness
0,0,329.57767
0,49.4,327.6997
-34.93,34.93,329.48416
-49.4,0,329.8428
-34.93,-34.93,330.13593
0,-49.4,328.62073
34.93,-34.93,326.70837
49.4,0,326.14703
34.93,34.93,326.44702
0,98.8,317.9645
-37.81,91.28,318.83286
-69.86,69.86,319.73215
-91.28,37.81,320.22498
-98.8,0,320.7426
-91.28,-37.81,320.89468
-69.86,-69.86,320.72446
-37.81,-91.28,320.3101
0,-98.8,318.7309
37.81,-91.28,317.68552
69.86,-69.86,317.01755
91.28,-37.81,316.8974
98.8,0,316.79025
91.28,37.81,317.21204
69.86,69.86,316.9333
37.81,91.28,317.23837
0,148,298.94144
-38.31,142.96,298.17764
-74,128.17,299.75656
-104.65,104.65,296.88013
-128.17,74,295.3615
-142.96,38.31,294.54208
-148,0,294.5343
-142.96,-38.31,297.77567
-128.17,-74,300.8838
-104.65,-104.65,304.87494
-74,-128.17,309.7979
-38.31,-142.96,309.92395
0,-148,310.51157
38.31,-142.96,308.47882
74,-128.17,305.43143
104.65,-104.65,301.723
128.17,-74,300.97388
142.96,-38.31,299.13483
148,0,298
142.96,38.31,297.15576
128.17,74,296.28976
104.65,104.65,295.58905
74,128.17,297.60666
38.31,142.96,299.70575
