X,Y,Thickness
0,0,355.46848
-1.00E-05,4.94,354.51532
-3.4931197,3.4930902,355.9458
-4.94,-1.00E-05,356.32886
-3.4930902,-3.4931197,355.2815
1.00E-05,-4.94,353.80667
3.4931197,-3.4930902,352.6973
4.94,1.00E-05,352.5096
3.4930902,3.4931197,353.86407
-3.00E-05,9.88,348.0229
-3.78095,9.12792,348.3106
-6.9862394,6.98619,348.58844
-9.127951,3.78088,349.64453
-9.88,-4.00E-05,350.41864
-9.12792,-3.78095,350.03342
-6.98619,-6.9862394,348.218
-3.78088,-9.127951,346.86877
4.00E-05,-9.88,345.5576
3.78095,-9.12792,346.03317
6.9862504,-6.98619,347.5208
9.127951,-3.78088,347.74902
9.88,4.00E-05,348.21918
9.12792,3.78095,348.25592
6.9861803,6.9862504,347.65103
3.78088,9.127951,347.38028
-6.00E-05,14.82,333.1133
-3.83576,14.31501,335.30753
-7.4100404,12.83448,336.89322
-10.479361,10.47928,337.90506
-12.83452,7.4099603,339.62463
-14.315041,3.83564,341.44434
-14.82,-6.00E-05,343.63168
-14.31501,-3.83576,345.81927
-12.83446,-7.4100404,345.78412
-10.47928,-10.47937,344.39572
-7.4099402,-12.83452,342.80057
-3.83564,-14.315041,342.87717
6.00E-05,-14.82,341.02917
3.83576,-14.31501,336.89542
7.41006,-12.83446,331.58368
10.47937,-10.47928,327.15442
12.834531,-7.4099402,324.76498
14.315041,-3.83564,323.9668
14.82,6.00E-05,343.0008654
14.31501,3.83576,323.65057
12.83446,7.41006,323.8654
10.47928,10.47937,324.56335
7.4099402,12.834531,327.3913
3.83564,14.315041,330.68994
