X,Y,Thickness
0.00,0.00,-2108.50045044145
0.00,49.40,-2114.71415514373
-34.93,34.93,-2106.32776866934
-49.40,0.00,-2107.80925069741
-34.93,-34.93,-2109.85846291554
0.00,-49.40,-2117.64084192997
34.93,-34.93,-2113.81090649524
49.40,0.00,-2123.50092650822
34.93,34.93,-2115.92396880275
0.00,98.80,-2144.93079043433
-37.81,91.28,-2143.63061299229
-69.86,69.86,-2138.83029653468
-91.28,37.81,-2134.04872620551
-98.80,0.00,-2139.36852428741
-91.28,-37.81,-2139.47053950906
-69.86,-69.86,-2140.90645744757
-37.81,-91.28,-2150.57166704387
0.00,-98.80,-2152.36645147983
37.81,-91.28,-2155.15520555724
69.86,-69.86,-2157.41613693467
91.28,-37.81,-2156.99768969954
98.80,0.00,-2154.43789422183
91.28,37.81,-2153.3766670412
69.86,69.86,-2155.03667573093
37.81,91.28,-2151.94262496298
0.00,148.00,-1981.33772321857
-38.31,142.96,-2100.80125064554
-74.00,128.17,-1920.34966617916
-104.65,104.65,-2096.55591833222
-128.17,74.00,-2206.80227832824
-142.96,38.31,-2210.34477907431
-148.00,0.00,-2173.77066734425
-142.96,-38.31,-2224.47261551628
-128.17,-74.00,-2227.4904251364
-104.65,-104.65,-2218.918623853
-74.00,-128.17,-2167.41174046242
-38.31,-142.96,-2211.96574198542
0.00,-148.00,-2100.87629285032
38.31,-142.96,-2235.93696102427
74.00,-128.17,-2226.03969364513
104.65,-104.65,-2235.72345771943
128.17,-74.00,-2251.55717575479
142.96,-38.31,-2186.25528769922
148.00,0.00,-2181.29220729591
142.96,38.31,-2256.60984657129
128.17,74.00,-2237.33383737747
104.65,104.65,-2249.12623493944
74.00,128.17,-2223.50804029363
38.31,142.96,-2105.97456802052
