X,Y,Thickness
0.00,0.00,-2110.56634419373
0.00,49.40,-2115.47282715284
-34.93,34.93,-2109.31203328351
-49.40,0.00,-2107.11064734169
-34.93,-34.93,-2116.97672564464
0.00,-49.40,-2116.68629146348
34.93,-34.93,-2119.18142523454
49.40,0.00,-2130.3471739336
34.93,34.93,-2118.9073450816
0.00,98.80,-2148.8125807228
-37.81,91.28,-2143.76281762326
-69.86,69.86,-2138.26646347107
-91.28,37.81,-2135.09515000157
-98.80,0.00,-2142.56237570651
-91.28,-37.81,-2142.9138280655
-69.86,-69.86,-2145.28387786177
-37.81,-91.28,-2149.12097735291
0.00,-98.80,-2157.94282696438
37.81,-91.28,-2154.5058231632
69.86,-69.86,-2155.05780093753
91.28,-37.81,-2155.46911547427
98.80,0.00,-2156.61858138342
91.28,37.81,-2156.00135226283
69.86,69.86,-2155.06429850751
37.81,91.28,-2152.73433172903
0.00,148.00,-2107.50215048175
-38.31,142.96,-2098.01840183118
-74.00,128.17,-1920.84138231766
-104.65,104.65,-2105.15139077323
-128.17,74.00,-2204.47763069918
-142.96,38.31,-2191.68675318446
-148.00,0.00,-2171.86209893879
-142.96,-38.31,-2223.28743845898
-128.17,-74.00,-2223.79942590348
-104.65,-104.65,-2218.04395008764
-74.00,-128.17,-2166.2398538427
-38.31,-142.96,-2215.20419548409
0.00,-148.00,-2104.66364866461
38.31,-142.96,-2240.60462025147
74.00,-128.17,-2228.70864270999
104.65,-104.65,-2235.83470933043
128.17,-74.00,-2251.16792409776
142.96,-38.31,-2183.76104969853
148.00,0.00,-2180.91300993978
142.96,38.31,-2263.05373581254
128.17,74.00,-2236.29858190066
104.65,104.65,-2252.17343988109
74.00,128.17,-2226.58539920917
38.31,142.96,-2098.77228406701
