X,Y,Thickness
0.00,0.00,-2104.87541353042
0.00,49.40,-2112.913011201
-34.93,34.93,-2103.35736792613
-49.40,0.00,-2108.43844256515
-34.93,-34.93,-2107.65783435456
0.00,-49.40,-2115.65990488984
34.93,-34.93,-2114.6504553442
49.40,0.00,-2122.80087929401
34.93,34.93,-2111.16495837164
0.00,98.80,-2142.94359777406
-37.81,91.28,-2138.61054119431
-69.86,69.86,-2131.91719841346
-91.28,37.81,-2132.55114179135
-98.80,0.00,-2139.12459215902
-91.28,-37.81,-2138.89242673398
-69.86,-69.86,-2141.25008807622
-37.81,-91.28,-2146.29717913699
0.00,-98.80,-2149.78722991237
37.81,-91.28,-2152.48750553683
69.86,-69.86,-2154.37344737608
91.28,-37.81,-2152.71479905596
98.80,0.00,-2151.41541269347
91.28,37.81,-2153.34671335489
69.86,69.86,-2152.75209313078
37.81,91.28,-2150.24384470193
0.00,148.00,-2089.8839131537
-38.31,142.96,-2096.74576396918
-74.00,128.17,-1920.75423954866
-104.65,104.65,-2106.06935277622
-128.17,74.00,-2202.56063774769
-142.96,38.31,-2188.47550378076
-148.00,0.00,-2169.34144247035
-142.96,-38.31,-2220.48231554419
-128.17,-74.00,-2221.52110350848
-104.65,-104.65,-2213.67820508143
-74.00,-128.17,-2160.30357766273
-38.31,-142.96,-2207.0675828935
0.00,-148.00,-2097.45748444176
38.31,-142.96,-2238.42238502897
74.00,-128.17,-2223.4567180915
104.65,-104.65,-2232.20400848108
128.17,-74.00,-2249.91388356804
142.96,-38.31,-2183.54012371224
148.00,0.00,-2176.84704836352
142.96,38.31,-2254.40516486478
128.17,74.00,-2233.43814399333
104.65,104.65,-2246.16152884056
74.00,128.17,-2222.41708756955
38.31,142.96,-2099.28893186226
