X,Y,Thickness
0.00,0.00,-2111.99285312142
0.00,49.40,-2113.26427678348
-34.93,34.93,-2106.6315560183
-49.40,0.00,-2107.49023478692
-34.93,-34.93,-2114.64536704006
0.00,-49.40,-2118.35008584816
34.93,-34.93,-2118.31364086542
49.40,0.00,-2122.77760865068
34.93,34.93,-2120.1105864595
0.00,98.80,-2147.51614786474
-37.81,91.28,-2142.64065643567
-69.86,69.86,-2135.79141151166
-91.28,37.81,-2139.11120567627
-98.80,0.00,-2140.91990027202
-91.28,-37.81,-2143.39162977199
-69.86,-69.86,-2145.92608472181
-37.81,-91.28,-2152.81314500751
0.00,-98.80,-2154.73400822089
37.81,-91.28,-2157.05676767375
69.86,-69.86,-2159.10114191778
91.28,-37.81,-2158.69797115764
98.80,0.00,-2160.21018607808
91.28,37.81,-2159.0639984361
69.86,69.86,-2158.3579991038
37.81,91.28,-2155.30870812981
0.00,148.00,-2184.32672496999
-38.31,142.96,-2104.34801185095
-74.00,128.17,-1923.72353416656
-104.65,104.65,-2102.05530191144
-128.17,74.00,-2205.63308789071
-142.96,38.31,-2190.03155126803
-148.00,0.00,-2172.84669490372
-142.96,-38.31,-2228.26683695882
-128.17,-74.00,-2226.31788443404
-104.65,-104.65,-2218.87776542422
-74.00,-128.17,-2168.9961256461
-38.31,-142.96,-2215.17630211069
0.00,-148.00,-2104.37065878894
38.31,-142.96,-2240.19779530155
74.00,-128.17,-2230.1740433739
104.65,-104.65,-2237.95565633028
128.17,-74.00,-2253.12374824784
142.96,-38.31,-2187.99915596288
148.00,0.00,-2231.62398199445
142.96,38.31,-2258.59197267357
128.17,74.00,-2240.6069410283
104.65,104.65,-2251.9309131905
74.00,128.17,-2226.68108737193
38.31,142.96,-2204.65599131532
