X,Y,Thickness
0.00,0.00,-2120.05088060156
0.00,49.40,-2118.46300030609
-34.93,34.93,-2113.07447979354
-49.40,0.00,-2112.59130449444
-34.93,-34.93,-2117.92866273081
0.00,-49.40,-2123.38496536819
34.93,-34.93,-2119.61084001583
49.40,0.00,-2125.89961895831
34.93,34.93,-2124.79603868287
0.00,98.80,-2149.29499815288
-37.81,91.28,-2149.73402153544
-69.86,69.86,-2138.88219480095
-91.28,37.81,-2143.36648942118
-98.80,0.00,-2147.58133384801
-91.28,-37.81,-2146.91915452294
-69.86,-69.86,-2151.57935647594
-37.81,-91.28,-2159.04088625253
0.00,-98.80,-2162.73484490474
37.81,-91.28,-2163.30342702283
69.86,-69.86,-2167.43466914769
91.28,-37.81,-2165.05582848376
98.80,0.00,-2165.87028606833
91.28,37.81,-2165.85629137881
69.86,69.86,-2163.53821385441
37.81,91.28,-2160.95698988521
0.00,148.00,-2187.52393448276
-38.31,142.96,-2105.91574061856
-74.00,128.17,-1928.92087688826
-104.65,104.65,-2110.78182664955
-128.17,74.00,-2213.14597411544
-142.96,38.31,-2200.00728037307
-148.00,0.00,-2178.98078176355
-142.96,-38.31,-2229.06675304296
-128.17,-74.00,-2229.74078614983
-104.65,-104.65,-2221.78626402092
-74.00,-128.17,-2171.68324465302
-38.31,-142.96,-2219.58797968221
0.00,-148.00,-2108.4907515992
38.31,-142.96,-2243.62268875034
74.00,-128.17,-2231.21474521563
104.65,-104.65,-2240.25288019498
128.17,-74.00,-2255.30184944211
142.96,-38.31,-2190.02945392268
148.00,0.00,-2233.59265556207
142.96,38.31,-2261.56460611988
128.17,74.00,-2241.97381691155
104.65,104.65,-2254.08697449329
74.00,128.17,-2231.35609967857
38.31,142.96,-2205.62070500425
