WaveLength,Dark,Referance,Abs_Reflectivity,0.00 0.00,0.00 49.40,-34.93 34.93,-49.40 0.00,-34.93 -34.93,0.00 -49.40,34.93 -34.93,49.40 0.00,34.93 34.93,0.00 98.80,-37.81 91.28,-69.86 69.86,-91.28 37.81,-98.80 0.00,-91.28 -37.81,-69.86 -69.86,-37.81 -91.28,0.00 -98.80,37.81 -91.28,69.86 -69.86,91.28 -37.81,98.80 0.00,91.28 37.81,69.86 69.86,37.81 91.28,0.00 148.00,-38.31 142.96,-74.00 128.17,-104.65 104.65,-128.17 74.00,-142.96 38.31,-148.00 0.00,-142.96 -38.31,-128.17 -74.00,-104.65 -104.65,-74.00 -128.17,-38.31 -142.96,0.00 -148.00,38.31 -142.96,74.00 -128.17,104.65 -104.65,128.17 -74.00,142.96 -38.31,148.00 0.00,142.96 38.31,128.17 74.00,104.65 104.65,74.00 128.17,38.31 142.96
514.36874956489,52.3682317682322,37951.5986147186,38.097120971476,40950.8387012987,40967.0181818182,40921.527012987,40957.4166233766,40949.9318614719,40936.1001731602,40924.8128138528,40952.4777489178,40945.9373160173,40986.7135064935,40937.3766233766,40930.0229437229,40922.8633766234,41000.5070995671,40975.1643290043,40978.6531601732,41014.5258008658,41029.5478787879,40992.5511688312,40992.6883982684,40975.2891774892,41010.801991342,41030.5033766234,41003.4406060606,40991.4517748918,40949.798008658,40434.487012987,39361.7,40239.4457142857,40954.4944588745,40726.9038961039,40607.030995671,40904.9531601732,40916.8678787879,40901.1178354978,40732.96995671,40886.7932467532,40232.2103030303,41129.314025974,41006.3092640693,41052.6688311688,41182.930995671,40804.5950649351,36727.6683982684,41270.2794805195,41230.2261471861,41291.2784415584,41149.2319480519,41054.6042424242
514.82474676084,53.5045954045959,37973.0895238095,38.077950261647,40975.0387012987,40981.3363636364,40949.4361038961,40978.4438961039,40977.8773160173,40958.4638095238,40942.5400865801,40968.7686580087,40968.8645887446,41013.8862337662,40959.0766233766,40947.3774891775,40946.9542857143,41017.6798268398,40995.7825108225,41000.8167965368,41032.8076190476,41046.0296969697,41014.7511688312,41011.6702164502,41004.8073593074,41038.701991342,41050.0579220779,41019.176969697,41014.9608658009,40967.798008658,40455.5961038961,39375.8909090909,40258.9820779221,40968.5126406926,40744.5220779221,40630.8128138528,40915.9440692641,40945.1224242424,40923.636017316,40752.7972294372,40909.1023376623,40251.5739393939,41150.5412987013,41024.8001731602,41071.8506493507,41193.4219047619,40817.7768831169,36744.432034632,41290.7703896104,41258.8352380952,41307.732987013,41174.5228571429,41075.6587878788
515.28071570037,53.0409590409595,37993.2804329004,38.058766249984,40996.7750649351,41002.9545454546,40975.4542857143,40995.0984415584,40991.8318614719,40982.4910822511,40958.1855411255,40990.805021645,40984.8464069264,41033.458961039,40979.412987013,40963.0683982684,40965.5451948052,41038.5434632035,41009.6552380952,41018.0531601732,41052.7985281385,41061.7478787879,41033.5148051948,41037.7247619048,41024.9619047619,41069.3474458874,41073.867012987,41032.4496969697,41033.2972294372,40985.5616450216,40475.8779220779,39386.6363636364,40269.9002597403,40994.6853679654,40758.0402597403,40645.5037229437,40929.4167965368,40964.5951515152,40931.3632900433,40774.6063203463,40923.265974026,40269.583030303,41171.314025974,41038.3274458874,41092.1233766234,41213.6491774892,40829.9223376623,36749.2502164502,41311.0249350649,41277.0261471862,41314.7057142857,41190.0955844156,41099.1224242424
515.73665638026,52.895504495505,38006.934978355,38.039574370831,41011.2750649351,41012.0272727273,40990.127012987,41015.3984415584,41008.6045887446,40999.3638095238,40970.3855411255,41010.7504761905,40997.51004329,41044.0771428571,40996.0311688312,40979.322943723,40982.7633766234,41051.8525541125,41029.5643290043,41042.0713419913,41064.2530735931,41073.0387878788,41037.5057142857,41045.652034632,41034.6073593074,41084.4747186147,41092.9215584416,41044.3678787879,41045.0972294372,40997.898008658,40492.6506493506,39399.3636363636,40279.5366233766,41004.2217316017,40768.7493506494,40657.530995671,40943.1077056277,40975.8315151515,40945.6087445887,40784.1245021645,40942.565974026,40274.6103030303,41185.2412987013,41055.7729004329,41105.3142857143,41222.6491774892,40838.3314285714,36761.6865800866,41329.3794805195,41290.4806926407,41327.0784415584,41203.7683116883,41106.1042424242
516.19256879726,51.1409590409595,38011.0986147186,38.020516600115,41020.5387012987,41022.8454545455,41002.6906493506,41026.3893506493,41027.4136796537,41016.1729004329,40985.7128138528,41020.9686580087,41009.0736796537,41046.058961039,41007.5311688312,40991.3411255411,40995.8815584416,41064.5252813853,41029.9097835498,41058.0531601731,41078.1076190476,41080.5115151515,41045.1693506494,41049.1247619048,41046.2800865801,41098.7929004329,41092.0942857143,41051.9496969697,41063.2881385281,41008.3070995671,40500.4688311688,39407.6181818182,40287.072987013,41006.1308225108,40779.3220779221,40659.5491774892,40946.0986147186,40979.7042424242,40956.0632900433,40792.2972294372,40955.9387012987,40288.383030303,41182.2685714286,41054.4274458874,41106.0688311688,41229.0491774892,40846.8314285714,36769.2138528138,41341.5249350649,41302.0170562771,41331.3693506494,41210.4592207792,41124.9042424242
516.64845294813,50.6136863136868,38017.9622510823,38.001641748019,41026.6568831169,41036.8454545455,41012.0088311688,41033.9711688312,41035.6682251082,41021.1456277056,40994.6037229437,41023.6504761905,41017.6827705628,41051.3407792208,41015.6675324675,40998.0502164502,40997.9906493506,41069.4070995671,41031.4097835498,41057.3167965368,41084.2348917749,41088.3751515152,41055.4420779221,41057.1611255411,41055.5073593074,41102.0929004329,41097.3488311688,41062.3951515151,41066.4063203463,41018.4343722944,40508.9051948052,39419.0181818182,40296.2548051948,41012.7399134199,40783.5584415584,40672.1764502164,40955.6440692641,40983.6860606061,40960.6723809524,40796.5245021645,40953.6023376623,40293.3375757576,41190.514025974,41066.4365367965,41107.087012987,41236.730995671,40855.6950649351,36771.5502164502,41345.8431168831,41304.7625108225,41331.1693506493,41217.2137662338,41133.5315151515
517.10430882963,51.486413586414,38019.6531601732,37.982879318805,41036.6114285714,41050.5909090909,41020.3906493506,41040.8438961039,41034.7954978355,41028.381991342,40995.7764502165,41032.3777489177,41029.200952381,41053.1862337662,41020.5402597403,41000.7502164502,41002.3633766234,41084.298008658,41036.2097835498,41059.2713419913,41086.7621645022,41090.456969697,41065.4693506494,41066.6156709957,41066.1073593074,41107.7656277056,41101.0124675325,41068.1587878788,41070.9245021645,41020.7707359307,40514.9779220779,39428,40302.1184415584,41010.8399134199,40787.8220779221,40665.2400865801,40959.3440692641,40982.076969697,40956.936017316,40791.6881385281,40952.4841558442,40287.6284848485,41195.8958441559,41076.7183549784,41109.4506493506,41237.9037229437,40849.9677922078,36766.3774891775,41349.7431168831,41308.3170562771,41331.3966233766,41208.8774025974,41141.8224242424
517.56013643854,51.4500499500504,38020.734978355,37.964492958446,41033.5387012987,41057.8272727273,41019.6633766234,41043.1984415584,41041.4136796537,41031.9183549784,41004.4400865801,41043.9868398268,41032.3373160173,41057.158961039,41020.4948051948,40989.5411255411,41007.3724675325,41076.1161904762,41036.627965368,41062.0077056277,41089.6894372294,41084.0478787879,41068.1966233766,41066.652034632,41063.3255411255,41108.0656277056,41090.6851948052,41068.6133333333,41070.6972294372,41017.7616450216,40512.0597402597,39433.7545454545,40294.3457142857,41007.8217316017,40784.9220779221,40660.0764502165,40963.034978355,40979.6860606061,40952.6632900433,40798.0154112554,40944.0114285714,40281.9648484848,41183.2776623377,41070.681991342,41101.3233766234,41237.3673593074,40853.1587012987,36760.5865800866,41352.1249350649,41304.5170562771,41324.2148051948,41210.4319480519,41137.7315151515
518.0159357716,51.1500499500504,38016.634978355,37.946107041146,41029.065974026,41059.2363636364,41030.9361038961,41056.1257142857,41039.4227705628,41032.4638095238,41008.0219047619,41045.7504761905,41036.2373160173,41056.1771428571,41018.6038961039,40996.5047619048,41009.5724675325,41079.8616450216,41033.4643290043,41064.3986147186,41087.3985281385,41080.2206060606,41061.9420779221,41072.4156709957,41066.2982683983,41098.4383549784,41089.5579220779,41070.3860606061,41070.7426839827,41031.9889177489,40499.5415584416,39438.0727272727,40290.0457142857,41002.7308225108,40783.6220779221,40649.9037229437,40963.1167965368,40973.5406060606,40951.9632900433,40800.4608658009,40941.8932467532,40276.583030303,41178.8412987013,41062.7638095238,41089.9506493506,41224.4219047619,40851.685974026,36759.4593073593,41344.1612987013,41307.2352380952,41313.9966233766,41209.2774025974,41133.7224242424
518.47170682557,51.4955044955049,38005.2895238095,37.927702908967,41020.7750649351,41060.2363636364,41020.6997402597,41059.952987013,41041.1500432901,41033.6183549784,41003.1219047619,41045.9595670996,41031.5009523809,41051.4407792208,41017.4493506494,41000.6411255411,41007.4724675325,41077.7161904762,41030.0097835498,41061.3531601732,41088.7803463203,41073.1933333333,41056.7966233766,41081.1247619048,41057.8619047619,41094.4838095238,41079.867012987,41074.476969697,41074.7335930736,41030.4707359307,40493.3961038961,39435.8090909091,40289.672987013,40994.1853679654,40778.7038961039,40643.5582683983,40959.5077056277,40966.976969697,40954.4087445887,40801.8608658009,40945.1114285714,40267.0739393939,41169.1231168831,41054.5910822511,41084.5051948052,41213.2582683983,40854.9041558442,36755.0774891775,41336.134025974,41291.907965368,41309.7420779221,41205.4683116883,41123.8133333333
