X,Y,Thickness
0.00,0.00,-2112.32822013716
0.00,49.40,-2115.91834308461
-34.93,34.93,-2107.90196010532
-49.40,0.00,-2107.65392584769
-34.93,-34.93,-2113.32378250429
0.00,-49.40,-2118.87612193858
34.93,-34.93,-2117.67018687845
49.40,0.00,-2124.60246934497
34.93,34.93,-2120.1665396999
0.00,98.80,-2148.36778533723
-37.81,91.28,-2137.68232416168
-69.86,69.86,-2135.13228139668
-91.28,37.81,-2134.16431671625
-98.80,0.00,-2140.23096427475
-91.28,-37.81,-2137.45244671188
-69.86,-69.86,-2139.84736214541
-37.81,-91.28,-2150.59857737593
0.00,-98.80,-2151.29382750961
37.81,-91.28,-2154.56270803288
69.86,-69.86,-2157.62590947739
91.28,-37.81,-2155.94060182061
98.80,0.00,-2160.20701654304
91.28,37.81,-2154.32251309144
69.86,69.86,-2156.73525631856
37.81,91.28,-2155.17392995902
0.00,148.00,-2182.64390519648
-38.31,142.96,-2098.46820897891
-74.00,128.17,-1923.29051861799
-104.65,104.65,-2102.81405415008
-128.17,74.00,-2202.82845850008
-142.96,38.31,-2191.06856911917
-148.00,0.00,-2169.087051457
-142.96,-38.31,-2222.65440861195
-128.17,-74.00,-2221.88585714033
-104.65,-104.65,-2217.23584153652
-74.00,-128.17,-2165.09204318059
-38.31,-142.96,-2209.3972552495
0.00,-148.00,-2101.76202852031
38.31,-142.96,-2236.25805370557
74.00,-128.17,-2227.5368710342
104.65,-104.65,-2232.83786484885
128.17,-74.00,-2251.47449409255
142.96,-38.31,-2189.14494821464
148.00,0.00,-2227.86985488923
142.96,38.31,-2255.48232314158
128.17,74.00,-2233.84079609761
104.65,104.65,-2250.73885020355
74.00,128.17,-2221.79860995872
38.31,142.96,-2200.25738663687
