X,Y,Thickness
0.00,0.00,-2260.85828840249
0.00,49.40,-2290.9046395437
-34.93,34.93,-2289.76167152963
-49.40,0.00,-2292.68691651282
-34.93,-34.93,-2295.16456485066
0.00,-49.40,-2292.23690301118
34.93,-34.93,-2291.84352885796
49.40,0.00,-2289.7193624057
34.93,34.93,-2286.98688538827
0.00,98.80,-2327.25391746243
-37.81,91.28,-2332.37018526848
-69.86,69.86,-2331.01242204257
-91.28,37.81,-2335.83808530137
-98.80,0.00,-2335.59379758254
-91.28,-37.81,-2337.12158348578
-69.86,-69.86,-2331.67154755279
-37.81,-91.28,-2333.11119821683
0.00,-98.80,-2332.18801918296
37.81,-91.28,-2333.12515907096
69.86,-69.86,-2331.78151647703
91.28,-37.81,-2333.12846430015
98.80,0.00,-2340.89865131415
91.28,37.81,-2332.05292841777
69.86,69.86,-2336.61999650836
37.81,91.28,-2330.61140252525
0.00,148.00,-2397.57742355693
-38.31,142.96,-2392.5370751343
-74.00,128.17,-2385.78162713836
-104.65,104.65,-2405.96215510498
-128.17,74.00,-2393.45246919847
-142.96,38.31,-2403.45814395584
-148.00,0.00,-2385.48391643158
-142.96,-38.31,-2390.4894022507
-128.17,-74.00,-2399.29547894902
-104.65,-104.65,-2397.06135037503
-74.00,-128.17,-2399.27249341659
-38.31,-142.96,-2372.50941083319
0.00,-148.00,-2394.9031098012
38.31,-142.96,-2438.71325509617
74.00,-128.17,-2473.89716062958
104.65,-104.65,-2501.67440088305
128.17,-74.00,-2501.45249247022
142.96,-38.31,-2492.81498988361
148.00,0.00,-2469.32226889093
142.96,38.31,-2499.39118576333
128.17,74.00,-2496.01860714819
104.65,104.65,-2491.31353664694
74.00,128.17,-2472.42604015339
38.31,142.96,-2439.25335201853
