X,Y,Thickness
0.00,0.00,-2111.95242114711
0.00,49.40,-2112.33135419552
-34.93,34.93,-2104.3266603379
-49.40,0.00,-2108.15889304713
-34.93,-34.93,-2112.74111491792
0.00,-49.40,-2118.74450888056
34.93,-34.93,-2114.41571086788
49.40,0.00,-2123.43905186484
34.93,34.93,-2117.06090072477
0.00,98.80,-2145.17513712068
-37.81,91.28,-2143.061313938
-69.86,69.86,-2137.0856411985
-91.28,37.81,-2135.75274576907
-98.80,0.00,-2141.43017436149
-91.28,-37.81,-2143.92245582096
-69.86,-69.86,-2142.00064696689
-37.81,-91.28,-2149.05030185405
0.00,-98.80,-2151.91714447402
37.81,-91.28,-2154.27814726394
69.86,-69.86,-2154.88500954099
91.28,-37.81,-2155.49819139043
98.80,0.00,-2157.21321217704
91.28,37.81,-2155.57004112576
69.86,69.86,-2155.83465288661
37.81,91.28,-2152.67148169297
0.00,148.00,-2176.47155952018
-38.31,142.96,-2099.52925757245
-74.00,128.17,-1917.20488967717
-104.65,104.65,-2094.48317522404
-128.17,74.00,-2204.28499142323
-142.96,38.31,-2208.49339746152
-148.00,0.00,-2170.37386633515
-142.96,-38.31,-2219.82228986114
-128.17,-74.00,-2221.02191866949
-104.65,-104.65,-2211.95746002274
-74.00,-128.17,-2164.76996238785
-38.31,-142.96,-2207.78835804381
0.00,-148.00,-2102.04771932437
38.31,-142.96,-2234.20481657521
74.00,-128.17,-2225.66737238233
104.65,-104.65,-2232.55943190799
128.17,-74.00,-2248.57885144001
142.96,-38.31,-2183.20424560421
148.00,0.00,-2229.01921006885
142.96,38.31,-2251.36589334875
128.17,74.00,-2234.09472635121
104.65,104.65,-2244.78023611311
74.00,128.17,-2220.94389274132
38.31,142.96,-2206.67252678895
