WaveLength,0.00 0.00,0.00 49.40,-34.93 34.93,-49.40 0.00,-34.93 -34.93,0.00 -49.40,34.93 -34.93,49.40 0.00,34.93 34.93,0.00 98.80,-37.81 91.28,-69.86 69.86,-91.28 37.81,-98.80 0.00,-91.28 -37.81,-69.86 -69.86,-37.81 -91.28,0.00 -98.80,37.81 -91.28,69.86 -69.86,91.28 -37.81,98.80 0.00,91.28 37.81,69.86 69.86,37.81 91.28,0.00 148.00,-38.31 142.96,-74.00 128.17,-104.65 104.65,-128.17 74.00,-142.96 38.31,-148.00 0.00,-142.96 -38.31,-128.17 -74.00,-104.65 -104.65,-74.00 -128.17,-38.31 -142.96,0.00 -148.00,38.31 -142.96,74.00 -128.17,104.65 -104.65,128.17 -74.00,142.96 -38.31,148.00 0.00,142.96 38.31,128.17 74.00,104.65 104.65,74.00 128.17,38.31 142.96
1092.9428489115,38.825761784571,38.3886367699261,38.4842795914112,38.4431722042886,38.7044154121704,38.5135688334153,38.3526609458155,38.6341742849531,38.6214597170626,38.2815325429973,38.6533924915274,38.4968660989057,38.4581278291095,38.2633113780778,38.4080287727521,38.4762849638311,38.324990753104,38.6688420635903,38.389002656772,38.2696686620232,38.470449068641,38.2144654841671,38.1344826196812,38.2058579961203,38.4097758824407,38.3877494943251,38.0561462460012,37.777578295972,37.9650129798903,38.1400258053946,38.4819745042828,37.9685620822943,38.388563592557,38.6080408169938,38.0473009315046,38.105193377677,38.1580731740623,38.0361871185642,38.1977444553153,38.0710195462818,38.0111970469979,38.0077302691342,38.0759407243575,38.2969043641053,38.2568443280788,38.2400318275155,38.5408822864523,38.3777973721201,38.3369644001319
1093.35853301889,38.8765846275562,38.3980438262731,38.5895908697576,38.5340904430836,38.7310274409591,38.5353787274371,38.3856535620489,38.6125336984662,38.5983720432559,38.3338758982497,38.6652586301727,38.5011728833136,38.4869165013125,38.292129801586,38.379335285109,38.4171975833538,38.399767853864,38.8065815292254,38.388476420412,38.2111857589287,38.5265312451854,38.2117067562776,38.2144159424918,38.1858842331314,38.3821391981139,38.5015612631555,38.0358180512967,37.7940847540969,38.0846686572633,38.1196986244659,38.4459661096908,37.9948487143169,38.2199290417107,38.6540998142276,37.9530552542578,38.2318267266233,38.1304311698527,38.0599070741729,38.1904121737271,38.1825119593823,38.0698344418388,38.1060295485671,38.0095692575923,38.3701846771269,38.3441158643249,38.2212741621387,38.5795782479801,38.4057166963203,38.3962534899289
1093.77418457539,38.8204813430722,38.3086989194599,38.5527943698057,38.4379288005117,38.6464950846502,38.4793289388269,38.2866534191942,38.4675869946108,38.4580955897028,38.254744685787,38.6278743181141,38.4224196491929,38.432351377009,38.2003207743453,38.29964783746,38.3685534801016,38.3639056271827,38.6392640040038,38.2608015720118,38.0478711986063,38.4147091058244,38.2415643534044,38.0912772523919,38.0669420730039,38.3354216275051,38.5502209270316,37.9756288868167,37.6889395338271,38.1000641406469,37.9677519992384,38.3756671413058,37.9589944658439,38.0897801545043,38.5906621399026,37.9004119491591,38.1955652869378,38.0178803160876,37.9645523194395,38.1044967245884,38.1415425585902,38.0056295542888,38.049182382377,37.9536518812256,38.2711883001663,38.2509383388703,38.0850050971897,38.3903934963435,38.3669683176323,38.2914382614623
1094.18980357777,38.8109734668328,38.3667024652293,38.5718169435943,38.5198409489777,38.7573542030657,38.4913981915802,38.3012455773955,38.513308446922,38.469386499871,38.2788179965803,38.5495313736933,38.4739409927638,38.5257749764661,38.2437007262129,38.2316399421382,38.3776271619902,38.4281931911009,38.6369593786895,38.2584698612953,38.1943012153265,38.4584922340205,38.2097702613432,38.1519616756056,38.1746631346126,38.3145235978782,38.5595634304215,38.0139676414987,37.7135739833069,38.0886450951223,38.0026067683584,38.4659478070187,37.9924631316261,38.1940780553183,38.6632618287364,37.8827394130923,38.1429135516403,38.1056965484693,38.0355025822814,38.1784467111137,38.2157854379255,38.1238840891304,38.0966078499571,37.8804165202805,38.3251541291737,38.258895894038,38.126288131036,38.3789661220389,38.3237948818516,38.3914123643095
1094.60539002279,38.881980562106,38.5135288808528,38.6553202370253,38.5353421277805,38.7172942236022,38.5588252380984,38.3211480155563,38.5153457762396,38.4610489603437,38.3453452812864,38.4690411995887,38.5550864244699,38.51502020539,38.3674315876364,38.2237183132223,38.4366206443333,38.4977964572141,38.7095330346377,38.4180105944749,38.2479155789525,38.4398448459736,38.2683425241976,38.2945037173112,38.1338502564289,38.2400598694185,38.6349142963511,38.0711306075835,37.7424720859879,38.1352155535405,38.0538543479802,38.4023516868345,37.951824644609,38.2565064484694,38.6419298230471,37.917618700823,38.2333068998593,38.0712671372946,38.1143790191617,38.1940073476189,38.3032416188247,38.0878922551985,38.1236105280926,37.9372684769432,38.4186827407452,38.3842667512498,38.0330388181725,38.3354521283708,38.3941178950236,38.4530987302406
1095.02094390721,38.9033778663177,38.4869372975396,38.6244654430167,38.6121475441959,38.739888717153,38.4744781882385,38.3176150693036,38.5184706840272,38.57408588858,38.3916853973985,38.4386433132737,38.5219357719672,38.4611066419876,38.4738373099048,38.2453587527637,38.467841295664,38.4569789510247,38.6679908579862,38.474825783267,38.227044839702,38.4403812884161,38.2880912165743,38.318570955632,38.1592529468086,38.23944963728,38.6273113773122,38.0441989923901,37.6768996707599,38.1036377422559,38.0194871583359,38.3457159548853,37.9573002352765,38.2370707838039,38.6391296082796,37.9116566631025,38.1765783865082,38.0671511266128,38.1334114289119,38.0606554445185,38.3378733420558,38.1299680656613,38.1383972451013,37.888639354812,38.5251347324635,38.486687463613,38.0926233247917,38.4111072696134,38.3041240372618,38.563582001314
1095.43646522779,38.9597704924519,38.4280948998844,38.7004228275248,38.6383325976006,38.7135934823572,38.4587592306082,38.3617040479741,38.5205806716583,38.4979576080857,38.3804520719448,38.3630143937355,38.4547721956419,38.4296852340564,38.4381072854458,38.2131197982618,38.4589720218003,38.4301332155133,38.7417715159954,38.434422637963,38.2448032868001,38.3412872930767,38.2277799914384,38.2674375499092,38.1231651217193,38.1940917858807,38.5857619736351,37.9939560700173,37.6999234407909,38.2386883399136,37.9861163945218,38.3036568506983,37.8502660177215,38.2469087996474,38.5920673126407,37.854947423946,38.2057057051504,38.1822538758824,38.1176885484089,38.0050436110752,38.3543683516176,38.0329976539848,38.149876016086,37.9441069334024,38.4798255586183,38.476051314844,38.1332559040357,38.3675502059865,38.2678295336839,38.4835998023926
1095.8519539813,38.9307640272448,38.3857359766392,38.8827773342953,38.7822965278157,38.7191926396884,38.4610676877773,38.5186702112986,38.4933130811609,38.429920255817,38.3681223639092,38.4047364880095,38.5200571099388,38.4626163912588,38.4543181143952,38.3604828638997,38.5243911681893,38.4812817354576,38.6329853317139,38.4796405720668,38.3082314576317,38.4090127588167,38.3865334433574,38.3230943880588,38.083195595777,38.2182795233287,38.6261086259563,37.9923306198692,37.7544312731271,38.3116293593001,38.0679743832013,38.394450323095,37.9035113194557,38.2048266065191,38.5428138051261,38.0029981819098,38.2957955998249,38.2643130006932,38.1139500731225,38.0486733771257,38.3727569168651,38.0180575896441,38.1253226419718,37.9991379806946,38.4919088462879,38.4995425675531,38.1409368091623,38.3863600810274,38.3611185257764,38.4842751250227
1096.26741016449,38.9176423242939,38.3927962918896,38.6908471602903,38.7448154146141,38.6573668543672,38.4128797163382,38.5208995093288,38.3898575443548,38.430785850103,38.3584236537192,38.3811245860934,38.5173301803392,38.352010759301,38.3597086121554,38.2731047931028,38.4455866676469,38.3699763818824,38.6660641193389,38.5669200577691,38.2580422247664,38.4180076523201,38.3961157678501,38.3008265815893,38.0338764664519,38.1816823799141,38.6290025866626,37.8953627061261,37.6891863659196,38.2552938414444,38.0282012333583,38.2818377513642,37.9213593189343,38.147845141092,38.3945928541478,37.9688075989702,38.2652284737989,38.4077160870664,38.0855246569324,38.0895342031641,38.3556990659237,38.0080464223299,38.1247158892389,37.9773263974922,38.3965321895656,38.3525461586495,38.0495934117697,38.4196733391819,38.2062988521795,38.4405182204816
1096.68283377412,38.8072878976718,38.2754423497948,38.5503577402513,38.5941738676815,38.5019293888811,38.2191683370664,38.3760693625814,38.2685850221379,38.2631552876054,38.1120744494433,38.2878148235387,38.2699150020572,38.191336371968,38.1569521204786,38.0822292119901,38.2616788878787,38.2148855576935,38.473694769312,38.3720184145707,38.0936865619365,38.1219333831564,38.2096632512218,38.2413387362702,37.8343282760395,38.0807162073115,38.4369678009005,37.731993032164,37.4808342554939,38.0511516078229,37.8131340088866,38.0924663968729,37.7368736924181,37.9793937004386,38.2298813863239,37.8931524337507,38.0664646793698,38.3240537259245,37.9551978272295,37.9388110104267,38.1759012839148,37.8936771047279,37.9595172115542,37.7801773505215,38.2049656157273,38.108609180663,37.8120114570281,38.0416465219783,37.9957805172414,38.3013220507917
