X,Y,Thickness
0.00,0.00,-2182.37070824341
0.00,49.40,-2194.49819588052
-34.93,34.93,-2188.03745945064
-49.40,0.00,-2190.61530050841
-34.93,-34.93,-2193.41620804804
0.00,-49.40,-2199.27828113093
34.93,-34.93,-2201.95003565806
49.40,0.00,-2199.7812836414
34.93,34.93,-2179.08783532143
0.00,98.80,-2230.57505024629
-37.81,91.28,-2223.18824428375
-69.86,69.86,-2219.57287852378
-91.28,37.81,-2217.4506986531
-98.80,0.00,-2225.72213992661
-91.28,-37.81,-2231.92443282366
-69.86,-69.86,-2230.09154581399
-37.81,-91.28,-2227.62655905058
0.00,-98.80,-2240.92817583512
37.81,-91.28,-2231.07823293066
69.86,-69.86,-2239.90339466511
91.28,-37.81,-2237.64232654189
98.80,0.00,-2235.09176439223
91.28,37.81,-2233.50728504927
69.86,69.86,-2237.41879362785
37.81,91.28,-2228.51035114681
0.00,148.00,-2174.78907336211
-38.31,142.96,-2246.50707190933
-74.00,128.17,-2242.10542399153
-104.65,104.65,-2256.00122573885
-128.17,74.00,-2253.88832857278
-142.96,38.31,-2270.18967225683
-148.00,0.00,-2215.10314848226
-142.96,-38.31,-2245.24624242875
-128.17,-74.00,-2271.05670894198
-104.65,-104.65,-2275.06039095265
-74.00,-128.17,-2279.73877071703
-38.31,-142.96,-2268.91474408994
0.00,-148.00,-2207.21763914829
38.31,-142.96,-2289.98885798614
74.00,-128.17,-2306.42313268079
104.65,-104.65,-2301.59076884112
128.17,-74.00,-2334.88894164659
142.96,-38.31,-2345.07250810536
148.00,0.00,-2294.1795425457
142.96,38.31,-2329.61850200403
128.17,74.00,-2300.10418267455
104.65,104.65,-2323.73314103233
74.00,128.17,-2266.16926223617
38.31,142.96,-2258.74058308737
