X,Y,Thickness
0.00,0.00,-2219.2969907858
0.00,49.40,-2219.49312008712
-34.93,34.93,-2212.56429676053
-49.40,0.00,-2213.06686495361
-34.93,-34.93,-2227.07713914829
0.00,-49.40,-2224.55894851199
34.93,-34.93,-2232.39833630928
49.40,0.00,-2230.39655203168
34.93,34.93,-2216.2387951591
0.00,98.80,-2256.393865707
-37.81,91.28,-2252.9638902911
-69.86,69.86,-2249.87150008457
-91.28,37.81,-2250.97672579961
-98.80,0.00,-2249.18833590207
-91.28,-37.81,-2255.66797216265
-69.86,-69.86,-2250.11988544962
-37.81,-91.28,-2262.732450758
0.00,-98.80,-2264.56731069436
37.81,-91.28,-2269.15531956288
69.86,-69.86,-2267.35135746142
91.28,-37.81,-2265.46213345227
98.80,0.00,-2262.8967172954
91.28,37.81,-2260.58687997712
69.86,69.86,-2259.05956938563
37.81,91.28,-2253.32439963867
0.00,148.00,-2211.7683105702
-38.31,142.96,-2278.14278824825
-74.00,128.17,-2279.53979073324
-104.65,104.65,-2297.61403807028
-128.17,74.00,-2285.92006792605
-142.96,38.31,-2301.15110411724
-148.00,0.00,-2240.51900422589
-142.96,-38.31,-2280.82341027282
-128.17,-74.00,-2301.85982171667
-104.65,-104.65,-2303.6967893617
-74.00,-128.17,-2308.27522315773
-38.31,-142.96,-2297.56175192614
0.00,-148.00,-2234.05124001041
38.31,-142.96,-2321.61744012294
74.00,-128.17,-2339.62753506663
104.65,-104.65,-2330.03199094629
128.17,-74.00,-2372.52641930067
142.96,-38.31,-2375.15127594952
148.00,0.00,-2326.50407577177
142.96,38.31,-2367.74719187586
128.17,74.00,-2328.33444205168
104.65,104.65,-2346.19128236095
74.00,128.17,-2296.10153313622
38.31,142.96,-2285.26095966767
