X,Y,Thickness
0.00,0.00,-2210.5727116632
0.00,49.40,-2210.19024944627
-34.93,34.93,-2208.07145652752
-49.40,0.00,-2207.76598868616
-34.93,-34.93,-2216.06059776883
0.00,-49.40,-2217.64810631994
34.93,-34.93,-2217.40535442704
49.40,0.00,-2221.49604805578
34.93,34.93,-2203.96526706119
0.00,98.80,-2247.6911314684
-37.81,91.28,-2245.61038255929
-69.86,69.86,-2246.13149449903
-91.28,37.81,-2238.91632351943
-98.80,0.00,-2239.77524471306
-91.28,-37.81,-2249.50057778926
-69.86,-69.86,-2243.74958729835
-37.81,-91.28,-2257.00003639551
0.00,-98.80,-2261.99908121944
37.81,-91.28,-2256.89524999341
69.86,-69.86,-2253.30414247906
91.28,-37.81,-2261.01251717768
98.80,0.00,-2256.09938591727
91.28,37.81,-2260.15744204785
69.86,69.86,-2250.49867737007
37.81,91.28,-2250.2638165241
0.00,148.00,-2213.54650896897
-38.31,142.96,-2271.30018833969
-74.00,128.17,-2278.54253095935
-104.65,104.65,-2295.00628546084
-128.17,74.00,-2285.12759811636
-142.96,38.31,-2292.87769400829
-148.00,0.00,-2235.95717117763
-142.96,-38.31,-2276.59713339635
-128.17,-74.00,-2300.80323521594
-104.65,-104.65,-2303.94731673708
-74.00,-128.17,-2311.04495860813
-38.31,-142.96,-2298.08952166401
0.00,-148.00,-2231.68266578781
38.31,-142.96,-2317.11330799366
74.00,-128.17,-2332.0329179814
104.65,-104.65,-2336.21777624105
128.17,-74.00,-2364.47655052606
142.96,-38.31,-2375.22266645023
148.00,0.00,-2323.97804860692
142.96,38.31,-2368.62938609243
128.17,74.00,-2334.48911724552
104.65,104.65,-2352.58508607683
74.00,128.17,-2299.30902434495
38.31,142.96,-2279.32671112142
