X,Y,Thickness
0.00,0.00,-2211.17729364859
0.00,49.40,-2209.55158351433
-34.93,34.93,-2211.435785517
-49.40,0.00,-2212.51408095122
-34.93,-34.93,-2216.23332675795
0.00,-49.40,-2220.50498918003
34.93,-34.93,-2218.92810060045
49.40,0.00,-2211.67139837544
34.93,34.93,-2212.2934028001
0.00,98.80,-2249.94192174085
-37.81,91.28,-2250.06309002159
-69.86,69.86,-2248.70053997907
-91.28,37.81,-2244.71879085282
-98.80,0.00,-2244.25112905707
-91.28,-37.81,-2252.8383396818
-69.86,-69.86,-2242.00749462558
-37.81,-91.28,-2252.12272438051
0.00,-98.80,-2262.26215411974
37.81,-91.28,-2260.79640791066
69.86,-69.86,-2254.38690429935
91.28,-37.81,-2260.09236404205
98.80,0.00,-2261.66679659877
91.28,37.81,-2260.51816612656
69.86,69.86,-2251.71654950035
37.81,91.28,-2253.8435751737
0.00,148.00,-2213.53425696527
-38.31,142.96,-2268.17995083264
-74.00,128.17,-2276.27047534979
-104.65,104.65,-2295.94235113745
-128.17,74.00,-2280.81445193221
-142.96,38.31,-2297.36334713559
-148.00,0.00,-2240.22271708515
-142.96,-38.31,-2274.44855142929
-128.17,-74.00,-2302.52796579475
-104.65,-104.65,-2302.46006810248
-74.00,-128.17,-2304.64403314739
-38.31,-142.96,-2293.03836288192
0.00,-148.00,-2224.13389470065
38.31,-142.96,-2316.21523933333
74.00,-128.17,-2333.54529597328
104.65,-104.65,-2333.23572590666
128.17,-74.00,-2363.73277442198
142.96,-38.31,-2371.92700949557
148.00,0.00,-2322.66885249113
142.96,38.31,-2364.24294245378
128.17,74.00,-2329.06145003642
104.65,104.65,-2345.98594166319
74.00,128.17,-2297.92472178366
38.31,142.96,-2281.09476252848
