X,Y,Thickness
0.00,0.00,-2214.3555951483
0.00,49.40,-2218.94987897336
-34.93,34.93,-2215.80796579701
-49.40,0.00,-2218.89486149559
-34.93,-34.93,-2222.07598420184
0.00,-49.40,-2220.67808283225
34.93,-34.93,-2227.09110912791
49.40,0.00,-2228.0577584389
34.93,34.93,-2211.1899879758
0.00,98.80,-2251.81701879261
-37.81,91.28,-2249.48868699609
-69.86,69.86,-2248.43868740771
-91.28,37.81,-2250.38504836536
-98.80,0.00,-2247.09868148803
-91.28,-37.81,-2255.67430374298
-69.86,-69.86,-2248.19846924822
-37.81,-91.28,-2260.77171160111
0.00,-98.80,-2267.13638278714
37.81,-91.28,-2262.47458239313
69.86,-69.86,-2264.27395907363
91.28,-37.81,-2266.75508638292
98.80,0.00,-2261.35947474876
91.28,37.81,-2264.65967852956
69.86,69.86,-2255.33227595006
37.81,91.28,-2250.30434791657
0.00,148.00,-2215.39376375372
-38.31,142.96,-2274.48113701306
-74.00,128.17,-2279.88731943568
-104.65,104.65,-2299.94184269267
-128.17,74.00,-2288.63404063766
-142.96,38.31,-2298.60737535796
-148.00,0.00,-2245.30959919815
-142.96,-38.31,-2284.51044126217
-128.17,-74.00,-2307.38382857439
-104.65,-104.65,-2306.93996461629
-74.00,-128.17,-2312.07110146282
-38.31,-142.96,-2295.4810041363
0.00,-148.00,-2222.46539200196
38.31,-142.96,-2324.1450285308
74.00,-128.17,-2330.46141795363
104.65,-104.65,-2333.27988383059
128.17,-74.00,-2372.29174876256
142.96,-38.31,-2380.69744724406
148.00,0.00,-2334.20183515605
142.96,38.31,-2378.05095706798
128.17,74.00,-2338.20070226251
104.65,104.65,-2358.56120435919
74.00,128.17,-2303.08185521802
38.31,142.96,-2290.35271324412
