X,Y,Thickness
0.00,0.00,-2220.48753154461
0.00,49.40,-2223.0284324542
-34.93,34.93,-2223.95757968258
-49.40,0.00,-2222.88675815285
-34.93,-34.93,-2229.10240299404
0.00,-49.40,-2230.98550978769
34.93,-34.93,-2230.77876425628
49.40,0.00,-2241.47859056248
34.93,34.93,-2228.26163093446
0.00,98.80,-2272.49091919179
-37.81,91.28,-2266.35483722202
-69.86,69.86,-2270.76305350323
-91.28,37.81,-2268.55179428775
-98.80,0.00,-2265.90469473747
-91.28,-37.81,-2276.18405670887
-69.86,-69.86,-2269.00479308622
-37.81,-91.28,-2280.9759830186
0.00,-98.80,-2280.89995872562
37.81,-91.28,-2279.77643486441
69.86,-69.86,-2284.39051788349
91.28,-37.81,-2285.48764674094
98.80,0.00,-2280.75039496194
91.28,37.81,-2283.40796985025
69.86,69.86,-2279.74503050603
37.81,91.28,-2273.18559116358
0.00,148.00,-2225.17127228813
-38.31,142.96,-2296.80570767884
-74.00,128.17,-2301.88699502044
-104.65,104.65,-2318.99786478555
-128.17,74.00,-2305.17653793833
-142.96,38.31,-2321.11568932437
-148.00,0.00,-2265.88678653978
-142.96,-38.31,-2303.5460440331
-128.17,-74.00,-2330.14315440877
-104.65,-104.65,-2332.64310661391
-74.00,-128.17,-2322.01994668767
-38.31,-142.96,-2315.09055505539
0.00,-148.00,-2259.08733709455
38.31,-142.96,-2338.57702554491
74.00,-128.17,-2354.3424119532
104.65,-104.65,-2358.28341950637
128.17,-74.00,-2390.8298623137
142.96,-38.31,-2397.46926808472
148.00,0.00,-2342.38536839
142.96,38.31,-2386.32226334128
128.17,74.00,-2347.93438913399
104.65,104.65,-2374.49279804387
74.00,128.17,-2315.50321532126
38.31,142.96,-2298.44847343872
