Pos,Thickness,Target Thickness
-69.86 69.86,18.495714921217697,18.43074
-91.28 37.81,18.465413570404053,18.3625
-98.80 0.00,18.532509400294376,18.343468
-91.28 -37.81,18.430053894336407,18.384594
-69.86 -69.86,18.44229166324322,18.44803
-37.81 -91.28,18.617364079087647,18.532293
0.00 -98.80,18.63436463813642,18.68869
37.81 -91.28,18.82569035505637,18.826555
69.86 -69.86,19.585123960788433,18.951803
91.28 -37.81,19.5037784576416,19.01566
98.80 0.00,20.352931646200325,20.7812
91.28 37.81,19.360648925487812,18.961185
69.86 69.86,19.320928426889274,18.85941
37.81 91.28,18.695903625243748,18.560106
