Pos,Thickness,Target Thickness
0.00 0.00,15.994418180905855,16.05296
0.00 49.40,15.780664077171913,15.7832
-34.93 34.93,15.77583593588609,15.77543
-49.40 0.00,15.781773989017193,15.787536
-34.93 -34.93,15.773653140434853,15.77066
0.00 -49.40,15.733686373783993,15.743417
34.93 -34.93,15.771372446647057,15.76499
49.40 0.00,15.750159226931059,15.77268
34.93 34.93,15.765146053754366,15.791184
0.00 98.80,15.384715832196749,15.38542
-37.81 91.28,15.361383786568275,15.36967
-69.86 69.86,15.347994070786696,15.356594
-91.28 37.81,15.249511095193716,15.21918
-98.80 0.00,15.263950164501484,15.26799
-91.28 -37.81,15.272598119882437,15.273005
-69.86 -69.86,15.276715938861553,15.226203
-37.81 -91.28,15.339239083803617,15.35773
0.00 -98.80,15.297085431905893,15.285903
37.81 -91.28,15.338116572453426,15.36739
69.86 -69.86,15.721859216690063,15.71137
91.28 -37.81,15.765099066954393,15.776896
98.80 0.00,15.758320716711191,15.821964
91.28 37.81,15.750321553303646,15.75715
69.86 69.86,15.684756865868202,15.71985
37.81 91.28,15.404774904251099,15.3893
0.00 0.00,15.951772451400757,16.05296
0.00 49.40,15.785309699865488,15.7832
-34.93 34.93,15.77741184601417,15.77543
-49.40 0.00,15.787573410914494,15.787536
-34.93 -34.93,15.787959373914278,15.77066
0.00 -49.40,15.737144800332876,15.743417
34.93 -34.93,15.757278240644014,15.76499
49.40 0.00,15.777473229628344,15.77268
34.93 34.93,15.721553545731764,15.791184
0.00 98.80,15.389778742423424,15.38542
-37.81 91.28,15.35892965243413,15.36967
-69.86 69.86,15.34270922954266,15.356594
-91.28 37.81,15.249270017330463,15.21918
-98.80 0.00,15.424137573975782,15.26799
-91.28 -37.81,15.2962926534506,15.273005
-69.86 -69.86,15.311802112139189,15.226203
-37.81 -91.28,15.341455881412212,15.35773
0.00 -98.80,15.364276500848623,15.285903
37.81 -91.28,15.354758794491108,15.36739
69.86 -69.86,15.722611574026255,15.71137
91.28 -37.81,15.739494727208065,15.776896
98.80 0.00,15.807050374838022,15.821964
91.28 37.81,15.731350733683659,15.75715
69.86 69.86,15.720110159653883,15.71985
37.81 91.28,15.413311793253971,15.3893
0.00 0.00,16.037431020003098,16.05296
0.00 49.40,15.773495802512535,15.7832
-34.93 34.93,15.778072027059702,15.77543
-49.40 0.00,15.786963132711557,15.787536
-34.93 -34.93,15.783144859167246,15.77066
0.00 -49.40,15.773292559843798,15.743417
34.93 -34.93,15.774543120310856,15.76499
49.40 0.00,15.788318395614624,15.77268
34.93 34.93,15.791846605447622,15.791184
0.00 98.80,15.384963329021748,15.38542
-37.81 91.28,15.370507111916176,15.36967
-69.86 69.86,15.414322596329908,15.356594
-91.28 37.81,15.275638855420626,15.21918
-98.80 0.00,15.263262070142305,15.26799
-91.28 -37.81,15.253149876227745,15.273005
-69.86 -69.86,15.238228724553036,15.226203
-37.81 -91.28,15.28310775756836,15.35773
0.00 -98.80,15.285127841509306,15.285903
37.81 -91.28,15.358432531356812,15.36739
69.86 -69.86,15.722306489944458,15.71137
91.28 -37.81,15.757217150468092,15.776896
98.80 0.00,15.758107020304752,15.821964
91.28 37.81,15.749113394663883,15.75715
69.86 69.86,15.717918707774235,15.71985
37.81 91.28,15.391020591442402,15.3893
0.00 0.00,16.022250248835636,16.05296
0.00 49.40,15.794746930782612,15.7832
-34.93 34.93,15.79283332824707,15.77543
-49.40 0.00,15.794827112784752,15.787536
-34.93 -34.93,15.81445129101093,15.77066
0.00 -49.40,15.766434394396269,15.743417
34.93 -34.93,15.796885196979229,15.76499
49.40 0.00,15.771629260136532,15.77268
34.93 34.93,15.749955415725708,15.791184
0.00 98.80,15.389178000963652,15.38542
-37.81 91.28,15.370184880036573,15.36967
-69.86 69.86,15.395620309389555,15.356594
-91.28 37.81,15.587555445157564,15.21918
-98.80 0.00,15.314608518893902,15.26799
-91.28 -37.81,15.319449993280264,15.273005
-69.86 -69.86,15.247452369103065,15.226203
-37.81 -91.28,15.291729340186485,15.35773
0.00 -98.80,15.479333914243258,15.285903
37.81 -91.28,15.482246013788076,15.36739
69.86 -69.86,15.724338989991407,15.71137
91.28 -37.81,15.658037240688618,15.776896
98.80 0.00,15.648640650969286,15.821964
91.28 37.81,15.744772379214947,15.75715
69.86 69.86,15.709586767049936,15.71985
37.81 91.28,15.439335236182579,15.3893
0.00 0.00,16.026200184455284,16.05296
0.00 49.40,15.775618076324463,15.7832
-34.93 34.93,15.78770166177016,15.77543
-49.40 0.00,15.783489007216234,15.787536
-34.93 -34.93,15.77469435104957,15.77066
0.00 -49.40,15.679039881779598,15.743417
34.93 -34.93,15.772313539798443,15.76499
49.40 0.00,15.762239584555992,15.77268
34.93 34.93,15.724180881793682,15.791184
0.00 98.80,15.397838592529297,15.38542
-37.81 91.28,15.374348145264845,15.36967
-69.86 69.86,15.343000338627743,15.356594
-91.28 37.81,15.28618207344642,15.21918
-98.80 0.00,15.27815422644982,15.26799
-91.28 -37.81,15.277101388344398,15.273005
-69.86 -69.86,15.31346895144536,15.226203
-37.81 -91.28,15.355529033220732,15.35773
0.00 -98.80,15.308182844748863,15.285903
37.81 -91.28,15.392967737638033,15.36739
69.86 -69.86,15.709768166908852,15.71137
91.28 -37.81,15.7642630980565,15.776896
98.80 0.00,15.798692794946524,15.821964
91.28 37.81,15.744300713905922,15.75715
69.86 69.86,15.702223832790668,15.71985
37.81 91.28,15.399045834174522,15.3893
0.00 0.00,15.988561391830444,16.05296
0.00 49.40,15.786793543742252,15.7832
-34.93 34.93,15.770895939606886,15.77543
-49.40 0.00,15.785186767578125,15.787536
-34.93 -34.93,15.780893380825336,15.77066
0.00 -49.40,15.754542735906748,15.743417
34.93 -34.93,15.785519489875206,15.76499
49.40 0.00,15.788477164048414,15.77268
34.93 34.93,15.772840426518368,15.791184
0.00 98.80,15.396920167482817,15.38542
-37.81 91.28,15.363818425398607,15.36967
-69.86 69.86,15.339951680256771,15.356594
-91.28 37.81,15.286403894424438,15.21918
-98.80 0.00,15.289446739050058,15.26799
-91.28 -37.81,15.28359554364131,15.273005
-69.86 -69.86,15.250983476638794,15.226203
-37.81 -91.28,15.344304946752695,15.35773
0.00 -98.80,15.503259328695444,15.285903
37.81 -91.28,15.434446811676025,15.36739
69.86 -69.86,15.710341361852793,15.71137
91.28 -37.81,15.730025694920467,15.776896
98.80 0.00,15.800835260978111,15.821964
91.28 37.81,15.716124222828793,15.75715
69.86 69.86,15.717157749029306,15.71985
37.81 91.28,15.476760204021748,15.3893
0.00 0.00,16.02077970137963,16.05296
0.00 49.40,15.781275217349712,15.7832
-34.93 34.93,15.776630841768705,15.77543
-49.40 0.00,15.793914739902203,15.787536
-34.93 -34.93,15.772395812548124,15.77066
0.00 -49.40,15.75293702345628,15.743417
34.93 -34.93,15.774475317734938,15.76499
49.40 0.00,15.786615628462572,15.77268
34.93 34.93,15.78490372804495,15.791184
0.00 98.80,15.382095703711876,15.38542
-37.81 91.28,15.36515054335961,15.36967
-69.86 69.86,15.390135544996996,15.356594
-91.28 37.81,15.25736585030189,15.21918
-98.80 0.00,15.263454859073345,15.26799
-91.28 -37.81,15.272363901138306,15.273005
-69.86 -69.86,15.274654370087843,15.226203
-37.81 -91.28,15.344466337790855,15.35773
0.00 -98.80,15.310753455528847,15.285903
37.81 -91.28,15.402901887893677,15.36739
69.86 -69.86,15.709217493350689,15.71137
91.28 -37.81,15.761855969062218,15.776896
